id,item_id,name,gender,country,age,is_speaker
25,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",male,IT,29,
26,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",not_say,BE,34,
27,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",male,IT,46,
28,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",,,50,
29,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",male,IT,33,
30,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",male,IT,37,
31,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",male,IT,40,
32,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",male,IT,2,
33,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",male,US,45,
34,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",male,IT,51,
35,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",female,CO,25,
36,78,"{""en"": ""Business Regular Ticket"", ""it"": ""Biglietto Regular Business""}",,,,
37,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",female,US,36,TRUE
38,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",male,US,30,
39,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",,,,
40,78,"{""en"": ""Business Regular Ticket"", ""it"": ""Biglietto Regular Business""}",male,IT,27,
41,78,"{""en"": ""Business Regular Ticket"", ""it"": ""Biglietto Regular Business""}",male,IT,0,
42,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",male,IT,27,
43,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",,,,
44,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",male,IT,31,
45,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",,,,
46,78,"{""en"": ""Business Regular Ticket"", ""it"": ""Biglietto Regular Business""}",male,DE,42,
47,78,"{""en"": ""Business Regular Ticket"", ""it"": ""Biglietto Regular Business""}",male,IT,39,
48,76,"{""en"": ""Student Regular Ticket"", ""it"": ""Biglietto Regular Studenti""}",,,,
49,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",male,IT,31,
50,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",male,IT,38,
51,78,"{""en"": ""Business Regular Ticket"", ""it"": ""Biglietto Regular Business""}",female,IT,44,
52,78,"{""en"": ""Business Regular Ticket"", ""it"": ""Biglietto Regular Business""}",,,,
53,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",male,IT,30,
54,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",male,US,36,
55,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",,,,
56,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",,,,
57,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",male,IT,41,
58,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",,,,
59,78,"{""en"": ""Business Regular Ticket"", ""it"": ""Biglietto Regular Business""}",male,IT,68,
60,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",male,IT,32,
61,78,"{""en"": ""Business Regular Ticket"", ""it"": ""Biglietto Regular Business""}",male,DE,0,
62,78,"{""en"": ""Business Regular Ticket"", ""it"": ""Biglietto Regular Business""}",male,IT,29,
63,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",male,IT,39,
64,78,"{""en"": ""Business Regular Ticket"", ""it"": ""Biglietto Regular Business""}",male,IT,58,
65,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",male,IT,41,
66,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",male,IT,26,
67,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",male,IT,32,
68,78,"{""en"": ""Business Regular Ticket"", ""it"": ""Biglietto Regular Business""}",male,CH,28,
69,81,"{""en"": ""Personal Late Ticket"", ""it"": ""Biglietto Late Personale""}",male,CH,28,
70,82,"{""en"": ""Business Late Ticket"", ""it"": ""Biglietto Late Business""}",male,CH,28,
71,78,"{""en"": ""Business Regular Ticket"", ""it"": ""Biglietto Regular Business""}",male,CH,28,
72,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",male,SI,34,
73,77,"{""en"": ""Personal Regular Ticket"", ""it"": ""Biglietto Regular Personale""}",,,,
